epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,50814.4,1.14774,0.7824,1.28445,0.70975,0.81958,0.77628,0.51647,1.26082,0.75615,1.3974,0.002377,0.002377,0.002377
79,51464.1,1.14115,0.78145,1.2834,0.71095,0.82001,0.77674,0.51703,1.26005,0.7545,1.39646,0.002278,0.002278,0.002278
80,52111,1.13691,0.77306,1.27813,0.71005,0.82134,0.77679,0.51746,1.2593,0.753,1.39547,0.002179,0.002179,0.002179
81,52761,1.12742,0.76596,1.27574,0.70987,0.82147,0.77709,0.51811,1.25849,0.75141,1.39451,0.00208,0.00208,0.00208
82,53411,1.12202,0.76447,1.27019,0.71091,0.8208,0.77755,0.51874,1.25755,0.75028,1.39354,0.001981,0.001981,0.001981
83,54060.4,1.12167,0.76205,1.2674,0.7108,0.82035,0.77777,0.51899,1.25667,0.74903,1.39268,0.001882,0.001882,0.001882
84,54709.6,1.11553,0.75059,1.26115,0.71005,0.82134,0.77854,0.51977,1.25586,0.74763,1.3917,0.001783,0.001783,0.001783
85,55359.7,1.10759,0.74685,1.25806,0.71057,0.82199,0.77874,0.52026,1.25496,0.74647,1.39061,0.001684,0.001684,0.001684
86,56011.2,1.10249,0.74497,1.25354,0.71187,0.82111,0.77922,0.5209,1.2541,0.74556,1.38977,0.001585,0.001585,0.001585
87,56662.7,1.09792,0.73667,1.25258,0.71144,0.82169,0.77939,0.52146,1.25313,0.7451,1.38866,0.001486,0.001486,0.001486
88,57312.5,1.08949,0.7335,1.24957,0.71235,0.82153,0.77939,0.52185,1.25256,0.74429,1.38799,0.001387,0.001387,0.001387
89,57962.8,1.08937,0.7256,1.24431,0.71304,0.82118,0.77954,0.52228,1.25182,0.74346,1.38719,0.001288,0.001288,0.001288
90,58611.7,1.0827,0.71774,1.23882,0.71441,0.82114,0.77951,0.52251,1.25118,0.74302,1.38645,0.001189,0.001189,0.001189
91,59262.1,1.07271,0.6295,1.25784,0.71483,0.82218,0.77976,0.52298,1.25041,0.7422,1.38575,0.00109,0.00109,0.00109
92,59911,1.06103,0.61897,1.24735,0.71431,0.82353,0.77988,0.52337,1.24953,0.74123,1.38499,0.000991,0.000991,0.000991
93,60558.2,1.05072,0.60913,1.24027,0.71454,0.82353,0.78009,0.52378,1.24847,0.74015,1.38414,0.000892,0.000892,0.000892
94,61208.8,1.04085,0.60096,1.23421,0.71498,0.82357,0.78029,0.52418,1.24785,0.7394,1.38345,0.000793,0.000793,0.000793
95,61857.7,1.03193,0.59774,1.23002,0.71598,0.82371,0.78036,0.5244,1.24704,0.73841,1.38299,0.000694,0.000694,0.000694
96,62508.1,1.02379,0.58969,1.22432,0.71651,0.82482,0.78005,0.5245,1.24627,0.73752,1.38229,0.000595,0.000595,0.000595
97,63158.6,1.01706,0.58425,1.22018,0.71667,0.82661,0.78015,0.52472,1.24575,0.73687,1.3817,0.000496,0.000496,0.000496
98,63807.8,1.00715,0.57965,1.2125,0.71657,0.8296,0.78024,0.5251,1.24535,0.73585,1.38141,0.000397,0.000397,0.000397
99,64457.1,1.00299,0.57598,1.20871,0.71585,0.83116,0.7804,0.52539,1.24497,0.73487,1.3811,0.000298,0.000298,0.000298
100,65102.8,0.99757,0.56929,1.20565,0.71693,0.8303,0.78036,0.52568,1.24427,0.73431,1.38065,0.000199,0.000199,0.000199
